Animal,closure_reason,reason,location,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude
bird,Case Closed. Closed date : 2018-08-10 19:39:09.55 Case Resolved bird transported at time of original call ,Animal Issues,40 W Third St  South Boston  MA  02127,South Boston,5,06,0601,40 W Third St,2127.0,42.34230354197032,-71.0538352268759
squirrel,Case Closed. Closed date : 2018-07-12 19:50:57.987 Case Noted Constituent heard squirrel from kitchen cabinet  but unable to locate it. Recommneded they contact exterminator to check the walls. ,Animal Issues,214 Brooks St  East Boston  MA  02128,East Boston,1,Ward 1,0108,214 Brooks St,2128.0,42.38098949078087,-71.03631034734066
dog,Case Closed. Closed date : 2018-07-24 19:13:31.51 Case Resolved dog came home ,Animal Issues,15-17 Woodfield St  Dorchester  MA  02122,Dorchester,7,Ward 16,1609,15-17 Woodfield St,2122.0,42.283669517239446,-71.05213059974078
bird,Case Closed. Closed date : 2018-08-15 08:26:11.24 Case Resolved Animal control went out on 7/27. The bird was gone on arrival ,Animal Issues,1 Jewish War Veterans Dr  Jamaica Plain  MA  02121,Jamaica Plain,13,12,1207,1 Jewish War Veterans Dr,2121.0,42.30095275251102,-71.08844928292237
bird,Case Closed. Closed date : 2018-07-28 14:15:04.46 Case Resolved The bird isn't there anymore ,Animal Issues,74 Perthshire Rd  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2213,74 Perthshire Rd,2135.0,42.353839664235934,-71.16876070516655
dog,Case Closed. Closed date : 2018-07-28 21:08:25.513 Case Resolved owner located dog ,Animal Issues,INTERSECTION of W Broadway & F St  South Boston  MA  ,South Boston / South Boston Waterfront,5,6,0604,INTERSECTION W Broadway & F St,,42.33681407788034,-71.04775711194287
dog,Case Closed. Closed date : 2018-08-01 18:40:33.37 Case Resolved Constituent called back to confirm the dog was found and requesting to cancel the case ,Animal Issues,51 Dustin St  Allston  MA  02135,Allston / Brighton,15,Ward 21,2106,51 Dustin St,2135.0,42.352269634398624,-71.14544065609574
bird,Case Closed. Closed date : 2018-08-04 20:15:42.937 Case Invalid BPD called to cancel the request. Constituents walked out with the injured bird  ,Animal Issues,69 Paris St  East Boston  MA  02128,East Boston,1,01,0104,69 Paris St,2128.0,42.371016683885166,-71.03880891572783
dog,Case Closed. Closed date : 2018-08-04 21:05:28.027 Case Resolved caller later advised dog was found ,Animal Issues,194 Boston St  Dorchester  MA  02125,Dorchester,5,Ward 7,0709,194 Boston St,2125.0,42.32307952555813,-71.06032053009268
bat,Case Closed. Closed date : 2018-08-09 21:16:44.09 Case Resolved const later advised they coaxed bat outside ,Animal Issues,43 Bicknell St  Dorchester  MA  02121,Greater Mattapan,8,Ward 14,1402,43 Bicknell St,2121.0,42.29794955833176,-71.08270063672092
bird,Case Closed. Closed date : 2018-08-10 14:16:40.323 Case Resolved bird flew away ,Animal Issues,270 Northern Ave  Boston  MA  02210,South Boston / South Boston Waterfront,5,06,0601,270 Northern Ave,2210.0,42.34863601367706,-71.0377907639136
dog,Case Closed. Closed date : 2018-08-27 15:41:47.223 Case Resolved Animal control responded on 8/10 however the dog was gone on arrival ,Animal Issues,3510 Washington St  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 11,1108,3510 Washington St,2130.0,42.305829591776735,-71.10785067586006
bat,Case Closed. Closed date : 2018-10-11 22:40:23.1 Case Resolved animal control responded on 8/11 and was unable to find the bat ,Animal Issues,71 Worcester St  Roxbury  MA  02118,South End,6,Ward 9,0902,71 Worcester St,2118.0,42.339369547174925,-71.0776405324494
cat,Case Closed. Closed date : 2018-08-16 15:37:33.427 Case Resolved Good morning!   The caller stated that he is going back for his cat and no longer wants to surrender it.   Thank you!     Tanicia Drigo   Head Clerk/Secretary Animal Care and Control ,Animal Issues,8-10 Wood Ave  Mattapan  MA  02126,Hyde Park,10,Ward 18,1806,8-10 Wood Ave,2126.0,42.27382959807514,-71.10923075038411
dog,Case Closed. Closed date : 2018-08-27 11:39:15.233 Case Resolved Animal control transported the dog to the shelter  ,Animal Issues,223 Geneva Ave  Dorchester  MA  02121,Dorchester,8,Ward 14,1404,223 Geneva Ave,2121.0,42.30399954599456,-71.07413060378127
bat,Case Closed. Closed date : 2018-08-27 11:37:48.29 Case Resolved Animal control responded on 8/16 and was unable to locate the bat ,Animal Issues,49 Prince St  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 19,1909,49 Prince St,2130.0,42.31089960876624,-71.12095069352574
dog,Case Closed. Closed date : 2018-08-16 09:23:51.437 Case Resolved BPD Called and sold the dog and owner were located ,Animal Issues,69 Paris St  East Boston  MA  02128,East Boston,1,01,0104,69 Paris St,2128.0,42.371016683885166,-71.03880891572783
goose,Case Closed. Closed date : 2018-08-17 17:38:28.793 Case Resolved ACO Egan transported the goose to the shelter.   Thank you!   Tanicia Drigo   Head Clerk/Secretary Animal Care and Control ,Animal Issues,246 Border St  East Boston  MA  02128,East Boston,1,01,0106,246 Border St,2128.0,42.37667422965149,-71.04025626151518
dog,Case Closed. Closed date : 2018-08-17 11:22:39.81 CLOSED CLOSED the owner came outside and got the dog ,Animal Issues,46 Saint James St  Roxbury  MA  02119,Roxbury,13,Ward 12,1201,46 Saint James St,2119.0,42.32667955928398,-71.08601057964732
bird,Case Closed. Closed date : 2018-08-17 20:38:18.87 Case Resolved This call was cancelled  bird was able to fly.   Thank you!   Tanicia Drigo   Head Clerk/Secretary Animal Care and Control ,Animal Issues,1282 Boylston St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,14,05,0502,1282 Boylston St,2215.0,42.344641887005686,-71.09694027715084
dog,Case Closed. Closed date : 2018-08-27 11:23:07.413 Case Resolved Animal control transported the dog the shelter.  ,Animal Issues,183 Callender St  Dorchester  MA  02124,Greater Mattapan,9,Ward 14,1410,183 Callender St,2124.0,42.28803956513713,-71.08677066793733
cat,Case Closed. Closed date : 2018-08-19 00:44:41.603 Case Resolved Constituent called back to report cat was not breathing or moving. Cat picked up by PWD 12:45 AM 8/19. ,Animal Issues,7 Wilmore St  Mattapan  MA  02126,Greater Mattapan,9,Ward 18,1802,7 Wilmore St,2126.0,42.27811957485166,-71.09288070390413
bat,Case Closed. Closed date : 2018-08-22 16:43:24.427 Case Resolved Animal Control was unable to locate the bat when the scene was inspected. ,Animal Issues,86 Highland St  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1816,86 Highland St,2136.0,42.25268960819121,-71.11388080854324
squirrel,Case Closed. Closed date : 2018-08-22 16:41:51.11 Case Resolved Animal Control transported the squirrel to the shelter.   Thank you!  ,Animal Issues,INTERSECTION of Boylston St & Tremont St  Boston  MA  ,Downtown / Financial District,4,3,0308,INTERSECTION Boylston St & Tremont St,,42.352367149578406,-71.0645438599282
squirrel,Case Closed. Closed date : 2018-08-22 16:40:16.49 Animal Control responded to the location  the squirrel was dead on arrival. ,Animal Issues,1249 Hyde Park Ave  Hyde Park  MA  02136,Hyde Park,10,18,1813,1249 Hyde Park Ave,2136.0,42.25646437299604,-71.12421886952357
bat,Case Closed. Closed date : 2018-08-18 20:35:41.777 Case Resolved caller eports bat flew out --advised ACO Munroe ,Animal Issues,55 Copeland St  Roxbury  MA  02119,Roxbury,13,Ward 12,1204,55 Copeland St,2119.0,42.322792551849886,-71.0796445746422
dog,Case Closed. Closed date : 2018-08-22 16:37:13.277 Case Resolved Animal Control transported the dog to the shelter.   Thank you! ,Animal Issues,42 Kenilworth St  Roxbury  MA  02119,Roxbury,13,Ward 9,0905,42 Kenilworth St,2119.0,42.32896956250608,-71.08836058022081
dog,Case Closed. Closed date : 2018-08-22 16:26:31.647 Case Resolved transported the dog to the shelter.   Thank you!    ,Animal Issues,350 S Huntington Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 10,1009,350 S Huntington Ave,2130.0,42.32276215076271,-71.11104301607821
dog,Case Closed. Closed date : 2018-08-19 20:04:54.56 Case Invalid Constituent is confirming the owner of the found dog has been found. Contacted Animal Control on-call to report.  ,Animal Issues,INTERSECTION of Farragut Rd & E Second St  South Boston  MA  ,South Boston / South Boston Waterfront,5,6,0609,INTERSECTION Farragut Rd & E Second St,,42.33748969887255,-71.02510771692995
dog,Case Closed. Closed date : 2018-08-22 16:17:10.36 Case Resolved transported the dog to the shelter.   Thank you!    ,Animal Issues,1837 Columbus Ave  Roxbury  MA  02119,Roxbury,11,11,1104,1837 Columbus Ave,2119.0,42.31974957773738,-71.09858062369618
bat,Case Closed. Closed date : 2018-08-24 11:26:22.307 Case Resolved Constituent reports the bat was no longer there apon arrival.  ,Animal Issues,55 Copeland St  Roxbury  MA  02119,Roxbury,13,Ward 12,1204,55 Copeland St,2119.0,42.322792551849886,-71.0796445746422
bird,Case Closed. Closed date : 2018-08-27 15:37:31.46 Case Resolved Animal Control responded to the location but the bird was gone when he arrived. ,Animal Issues,64 C St  South Boston  MA  02127,South Boston,5,06,0601,64 C St,2127.0,42.3372999032614,-71.05634496793341
raccoon,Case Closed. Closed date : 2018-08-22 13:10:24.217 Hello! Animal Control released the raccoon  a notice was left for the owner to contact the office. Thanks! ,Animal Issues,5-7 Mount Vernon St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2209,5-7 Mount Vernon St,2135.0,42.34688164747856,-71.15457768897488
dog,Case Closed. Closed date : 2018-08-24 21:20:34.013 Case Resolved ACO Munroe transported the dog to the shelter.   Thank you!   Tanicia Drigo   Head Clerk/Secretary Animal Care and Control ,Animal Issues,24 Dunmore St  Roxbury  MA  02119,Roxbury,13,Ward 8,0807,24 Dunmore St,2119.0,42.32577954444999,-71.07429055553791
snake,Case Closed. Closed date : 2018-08-29 11:46:21.133 Case Resolved Animal control responded on 8/24 and was unable to locate the snake ,Animal Issues,15 Raldne Rd  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1819,15 Raldne Rd,2136.0,42.25491964597562,-71.14048086339912
dog,Case Closed. Closed date : 2018-08-27 12:30:22.74 Case Resolved The dog is at the City's shelter and the owner has been contacted. Thanks! ,Animal Issues,543 E Seventh St  South Boston  MA  02127,South Boston / South Boston Waterfront,5,Ward 7,0702,543 E Seventh St,2127.0,42.33210949605253,-71.03872046137732
dog,Case Closed. Closed date : 2018-08-28 10:01:34.56 Case Resolved The dog was transported to the animal control shelter. ,Animal Issues,194 Falcon St  East Boston  MA  02128,East Boston,1,Ward 1,0109,194 Falcon St,2128.0,42.38209948385655,-71.03096033267835
bird,Case Closed. Closed date : 2018-08-28 09:14:07.183 Case Resolved Animal control reports the bird has been released. ,Animal Issues,2080 William J Day Blvd  South Boston  MA  02127,South Boston,5,06,0609,2080 William J Day Blvd,2127.0,42.33883607626717,-71.01323479093405
bird,Case Closed. Closed date : 2018-08-28 09:24:13.623 Case Resolved Animal control transported the bird to the animal control shelter. ,Animal Issues,1620 Tremont St  Mission Hill  MA  02120,Mission Hill,14,10,1003,1620 Tremont St,2120.0,42.3336194959926,-71.10403825714188
squirrel,Case Closed. Closed date : 2018-08-30 11:41:17.637 Case Resolved Animal control sent the squirrel to a shelter. Thanks! ,Animal Issues,70 Brookledge St  Dorchester  MA  02121,Roxbury,13,Ward 12,1207,70 Brookledge St,2121.0,42.30876956461853,-71.08844062565751
dog,Case Closed. Closed date : 2018-08-31 16:02:37.0 Case Resolved Hello! Animal control transported the dog to the shelter. Thanks! ,Animal Issues,350 S Huntington Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 10,1009,350 S Huntington Ave,2130.0,42.32276215076271,-71.11104301607821
dog,Case Closed. Closed date : 2018-09-06 09:18:37.283 Case Resolved Animal control transported the dog to the shelter. ,Animal Issues,229 Centre St  Dorchester  MA  02124,Dorchester,8,Ward 16,1603,229 Centre St,2124.0,42.2930895322648,-71.06344060405168
dog,Case Closed. Closed date : 2018-09-05 16:43:25.84 Case Resolved the dog was placed under quarantine ,Animal Issues,76 W Seventh St  South Boston  MA  02127,South Boston / South Boston Waterfront,5,Ward 6,0602,76 W Seventh St,2127.0,42.336669516330176,-71.05418048596498
dog,Case Closed. Closed date : 2018-09-05 16:44:10.873 Case Resolved The dog was transported to a shelter. Thanks! ,Animal Issues,350 S Huntington Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 10,1009,350 S Huntington Ave,2130.0,42.32276215076271,-71.11104301607821
cat,Case Closed. Closed date : 2018-09-05 16:52:18.777 Case Resolved Animal control set up a trap for the cat at this location. Thanks! ,Animal Issues,19 Rexford St  Mattapan  MA  02126,Greater Mattapan,9,Ward 18,1821,19 Rexford St,2126.0,42.27086957804445,-71.0945807240104
dog,Case Closed. Closed date : 2018-09-05 16:55:43.557 Case Resolved Animal control transported the dog to the hospital. Thanks! ,Animal Issues,96 Blue Hill Ave  Roxbury  MA  02119,Roxbury,13,Ward 8,0807,96 Blue Hill Ave,2119.0,42.3217795481996,-71.07706057065782
dog,Case Closed. Closed date : 2018-09-06 12:02:31.623 Case Resolved Animal control transported the dog to a shelter. Thanks! ,Animal Issues,10 Saint George St  Roxbury  MA  02118,Roxbury,6,08,0802,10 Saint George St,2118.0,42.338381403708325,-71.07199918809326
squirrel,Case Closed. Closed date : 2018-09-02 18:30:04.893 Case Resolved caller got squirrel out ,Animal Issues,271 Bunker Hill St  Charlestown  MA  02129,Charlestown,2,Ward 2,0205,271 Bunker Hill St,2129.0,42.38019952654852,-71.06481041280814
possum,Case Closed. Closed date : 2018-09-06 12:24:39.89 Case Resolved On 9/4 Animal Control responded to this location  the possum was dead on arrival. ,Animal Issues,567 Norfolk St  Mattapan  MA  02126,Mattapan,9,18,1802,567 Norfolk St,2126.0,42.27775082868179,-71.09155555702
dog,Case Closed. Closed date : 2018-09-06 22:24:02.637 Case Resolved This dog was returned to the owner. ,Animal Issues,118 Pembroke St  Roxbury  MA  02118,South End,6,Ward 4,0403,118 Pembroke St,2118.0,42.34273954609121,-71.07726052453584
fly,Case Closed. Closed date : 2018-10-02 11:51:21.843 Case Noted Animal control reporting the seagull is a baby and unable to fly yet ,Animal Issues,20 Shattuck St  Boston  MA  02115,Boston,14,04,0410,20 Shattuck St,2115.0,42.33548501616985,-71.1054147863351
bird,Case Closed. Closed date : 2018-09-25 11:26:22.587 Case Resolved ACO Munroe responded to the location on 9/13  the bird was gone on arrival. ,Animal Issues,33 Mount Vernon St  Dorchester  MA  02125,Dorchester,5,Ward 7,0709,33 Mount Vernon St,2125.0,42.32169952215428,-71.05752052729699
cat,Case Closed. Closed date : 2018-09-14 03:56:45.67 Case Resolved Constituent walked back through area and noticed cat had left. Notified ISD on-call. ,Animal Issues,INTERSECTION of Cemetery Rd & Brookley Rd  Jamaica Plain  MA  ,Greater Mattapan,13,12,1207,INTERSECTION Cemetery Rd & Brookley Rd,,42.302304775370914,-71.10485611768671
dog,Case Closed. Closed date : 2018-09-29 20:05:31.277 Case Invalid Constituent will drop off found dog  at another shelter.  ,Animal Issues,25 Pinedale Rd  Roslindale  MA  02131,Roslindale,10,Ward 18,1809,25 Pinedale Rd,2131.0,42.27701961583851,-71.12187077166858
dog,Case Closed. Closed date : 2018-10-02 19:10:33.953 Constituent called back to say the dog got away from him.  ,Animal Issues,INTERSECTION of Wentworth St & Wentworth Ter  Dorchester  MA  ,Dorchester,9,17,1708,INTERSECTION Wentworth St & Wentworth Ter,,42.286325707660055,-71.0748785589881
bird,Case Closed. Closed date : 2018-10-08 13:53:58.063 Case Resolved bird has passed away ,Animal Issues,INTERSECTION of Moon St & Sun Ct  Boston  MA  ,Downtown / Financial District,3,3,0303,INTERSECTION Moon St & Sun Ct,,42.36393618592306,-71.05308908722502
raccoon,Case Closed. Closed date : 2018-10-15 18:48:46.443 Case Resolved Constituent called back and reported that the raccoon is gone. ,Animal Issues,1550 Tremont St  Mission Hill  MA  02120,Mission Hill,14,Ward 10,1003,1550 Tremont St,2120.0,42.332559635845406,-71.10085335213432
dog,Case Closed. Closed date : 2018-10-17 19:20:07.3 Case Invalid owner with injured dog  unable to report to animal control on-call officer  ,Animal Issues,3573 Washington St  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 11,1108,3573 Washington St,2130.0,42.30415959537437,-71.11004068476007
dog,Case Closed. Closed date : 2018-10-23 22:45:36.557 Case Noted Constituent changed mind and will bring dog to local shelter.  ,Animal Issues,63 Surrey St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2210,63 Surrey St,2135.0,42.35085964819152,-71.15577068242473
dog,Case Closed. Closed date : 2018-11-05 10:25:41.027 Case Resolved Animal control reported on 10/23 the dog was returned to the owner ,Animal Issues,63 Surrey St  Brighton  MA  02135,Allston / Brighton,15,Ward 22,2210,63 Surrey St,2135.0,42.35085964819152,-71.15577068242473
dog,Case Closed. Closed date : 2018-11-01 11:48:40.193 Case Resolved ACO Munroe transported the dog to the shelter.  ,Animal Issues,17 Savoy St  Roxbury  MA  02118,Roxbury,4,03,0307,17 Savoy St,2118.0,42.34167953350636,-71.06719050413585
bird,Case Closed. Closed date : 2018-11-05 11:25:38.447 Case Noted ACO Gillis was unable to locate the bird  gone on arrival.  ,Animal Issues,INTERSECTION of Columbia Rd & Blue Hill Ave  Dorchester  MA  ,Greater Mattapan,13,14,1403,INTERSECTION Columbia Rd & Blue Hill Ave,,42.30343965682098,-71.08506651039427
dog,Case Closed. Closed date : 2018-10-30 18:58:00.0 Case Resolved dog found ,Animal Issues,11 Parley Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 19,1905,11 Parley Ave,2130.0,42.31490959856868,-71.11354066802596
bat,Case Closed. Closed date : 2018-10-30 23:21:24.837 Case Resolved Constituent called to say it was a mouse not a bat ,Animal Issues,20 Concord Sq  Roxbury  MA  02118,South End,6,Ward 4,0404,20 Concord Sq,2118.0,42.34113954850285,-71.07897053163758
dog,Case Closed. Closed date : 2018-11-03 21:36:04.253 Case Resolved Constituent called back and confirmed the dog has been found. Requested to cancel case.  ,Animal Issues,4 Doncaster St  Roslindale  MA  02131,Roslindale,10,Ward 18,1809,4 Doncaster St,2131.0,42.27505962049738,-71.12504078334537
dog,Case Closed. Closed date : 2018-11-27 08:47:13.97 Case Resolved Animal Control transported dog to shelter on 11/4 ,Animal Issues,INTERSECTION of San Juan St & Newland St  Roxbury  MA  ,South End,6,9,0901,INTERSECTION San Juan St & Newland St,,42.341139057209965,-71.07308310843015
dog,Case Closed. Closed date : 2018-11-09 12:12:23.633 Case Resolved Caller tranported dog to brockton animal control ,Animal Issues,11 Mountain Ave  Dorchester  MA  02124,Greater Mattapan,9,Ward 14,1413,11 Mountain Ave,2124.0,42.28629956376464,-71.08578066959096
bird,Case Closed. Closed date : 2018-11-26 10:55:01.64 Case Resolved Animal control was unable to find the bird  ,Animal Issues,1 Central Whf  Boston  MA  02110,Boston,3,03,0306,1 Central Whf,2110.0,42.35917866279311,-71.04929840494962
dog,Case Closed. Closed date : 2018-11-13 09:13:25.1 Case Resolved Transported dog to shelter. ,Animal Issues,645 Hyde Park Ave  Roslindale  MA  02131,Roslindale,10,Ward 18,1808,645 Hyde Park Ave,2131.0,42.278259612027504,-71.11958076428036
cat,Case Closed. Closed date : 2018-11-13 09:07:30.207 Case Resolved Officer dispatched was unable to locate the cat ,Animal Issues,9 Jette Ct  Brighton  MA  02135,Brighton,15,21,2109,9 Jette Ct,2135.0,42.345899632129886,-71.14300066485632
bat,Case Closed. Closed date : 2018-11-13 09:03:27.27 Case Resolved Officer Conroy released the bat ,Animal Issues,66 Charles St  Boston  MA  02114,Beacon Hill,14,Ward 5,0505,66 Charles St,2114.0,42.3576295358675,-71.07041047565518
cat,Case Closed. Closed date : 2019-09-10 14:44:24.63 Case Resolved Animal Control Officer Munroe transported the cat to the shelter at the time of call.   Thank you!  ,Animal Issues,85-87 Fayston St  Dorchester  MA  02121,Roxbury,13,Ward 14,1401,85-87 Fayston St,2121.0,42.312039547238406,-71.07553058862469
dog,Case Closed. Closed date : 2018-11-30 15:17:02.17 Case Resolved Animal Control reports The officer picked up this dog  the dog was micro-chipped  owner located and due to the holiday the dog was delivered back to the owner. ,Animal Issues,588-588A Tremont St  Roxbury  MA  02118,South End,4,Ward 3,0307,588-588A Tremont St,2118.0,42.34308954008267,-71.07277051353682
dog,Case Closed. Closed date : 2018-11-22 17:22:15.453 Case Resolved Constituent called back to report the owner of the dog was found.  ,Animal Issues,22 Rosa St  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1815,22 Rosa St,2136.0,42.262009604701376,-71.11263078459436
dog,Case Closed. Closed date : 2019-09-10 14:42:45.33 Case Resolved Animal Control Officer Munroe transported the dog to the shelter at the time of the call.   Thank you! ,Animal Issues,40 Gibson St  Dorchester  MA  02122,Dorchester,7,16,1601,40 Gibson St,2122.0,42.29796989465436,-71.0592601792182
bird,Case Closed. Closed date : 2019-09-10 13:29:50.103 Case Resolved Animal Control Officer Fabiano responded (at the time of the call)  to the location the bird was dead on arrival.   Thank you!  ,Animal Issues,219 Western Ave  Allston  MA  02134,Allston,15,22,2201,219 Western Ave,2134.0,42.36332871961224,-71.1307764684352
dog,Case Closed. Closed date : 2018-11-30 12:25:44.74 Case Resolved animal control reports The dog was not outside when the officer arrived. A citation was issued. ,Animal Issues,124 Terrace St  Mission Hill  MA  02120,Mission Hill,14,10,1005,124 Terrace St,2120.0,42.327971981565575,-71.09823293887239
dog,Case Closed. Closed date : 2019-09-10 13:18:21.313 Case Resolved Animal Control Officer Gillis transported the dog to the shelter.  Thank You! ,Animal Issues,283 Huntington Ave  Boston  MA  02115,Fenway / Kenmore / Audubon Circle / Longwood,13,Ward 4,0408,283 Huntington Ave,2115.0,42.34193231562085,-71.08650147428848
dog,Case Closed. Closed date : 2019-09-06 15:16:15.917 Case Resolved Animal Control was notified and responded back that animal control officer Jenner transported the dog to the shelter.   Thank you for contacting 311 ,Animal Issues,10 Allen St  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1818,10 Allen St,2136.0,42.24756964128133,-71.12846084912016
dog,Case Closed. Closed date : 2019-09-20 19:43:46.833 Case Resolved Animal control officer spoke with the victim she stated that she was not bitten by the dog and will call back to provide an address.  Thank You!   ,Animal Issues,25 Fayette St  Boston  MA  02116,Back Bay,6,Ward 5,0501,25 Fayette St,2116.0,42.34899953249284,-71.06746048825475
dog,Case Closed. Closed date : 2019-09-20 19:31:53.23 Case Resolved Animal control officer Fabiano transported the dog to the shelter at the time of the call.   Thank you! ,Animal Issues,32 Ashton St  Dorchester  MA  02124,Greater Mattapan,9,Ward 14,1412,32 Ashton St,2124.0,42.28743956858968,-71.08906067455041
dog,Case Closed. Closed date : 2019-09-11 15:03:29.193 Case Resolved Animal control Officer Fabiano transported the dog to the shelter. at the time of the call.   Thank you!  ,Animal Issues,70 Floyd St  Dorchester  MA  02124,Dorchester,9,14,1410,70 Floyd St,2124.0,42.28878146706349,-71.08688564634521
dog,Case Closed. Closed date : 2019-09-20 20:45:36.727 Case Resolved Animal control officer Gillis transported the dog to the shelter at the time of the call.   Thank you!  ,Animal Issues,116 Evans St  Dorchester  MA  02124,Greater Mattapan,9,Ward 17,1710,116 Evans St,2124.0,42.28140956108079,-71.08324067461851
raccoon,Case Closed. Closed date : 2019-09-20 20:51:13.057 Case Resolved Animal control officer Jenner released the raccoon at the time of the call.   Thank you! ,Animal Issues,100 Roslindale Ave  Roslindale  MA  02131,Roslindale,10,Ward 20,2002,100 Roslindale Ave,2131.0,42.28412963167389,-71.13411078346859
dog,Case Closed. Closed date : 2018-12-04 20:45:18.593 Case Resolved dog was found while creating report.  ,Animal Issues,4 Doncaster St  Roslindale  MA  02131,Roslindale,10,Ward 18,1809,4 Doncaster St,2131.0,42.27505962049738,-71.12504078334537
dog,Case Closed. Closed date : 2019-09-20 21:14:37.773 Case Resolved Animal control officer Gillis responded to the location at the time of the call  the dog was gone on arrival.   Thank you! ,Animal Issues,INTERSECTION of Knoll St & Walter St  Roslindale  MA  ,Roslindale,10,20,2004,INTERSECTION Knoll St & Walter St,,42.29074150903145,-71.13251193999686
dog,Case Closed. Closed date : 2019-09-20 21:01:07.897 Case Resolved Animal control officer Egan transported the dog to the shelter at the time of the call.   Thank you! ,Animal Issues,1940 Centre St  West Roxbury  MA  02132,West Roxbury,12,20,2012,1940 Centre St,2132.0,42.28401966294278,-71.15651983413969
dog,Case Closed. Closed date : 2019-09-20 21:31:21.2 Case Resolved The dog was returned to its owner at the time of the call.   Thank you! ,Animal Issues,99 Wachusett St  Jamaica Plain  MA  02130,Jamaica Plain,10,Ward 19,1907,99 Wachusett St,2130.0,42.29486960379103,-71.11527071651983
cat,Case Closed. Closed date : 2019-09-20 21:24:39.04 Case Resolved Animal control officer Jones transported the cat to the shelter at the time of the call.   Thank you! ,Animal Issues,INTERSECTION of Franklin Hill Ave & American Legion Hwy  Dorchester  MA  ,Greater Mattapan,9,14,1409,INTERSECTION Franklin Hill Ave & American Legion Hwy,,42.2958840477498,-71.09220657274919
cat,Case Closed. Closed date : 2019-09-20 21:23:01.053 Case Resolved Animal control officer Jones transported the cat to the shelter at the time of the call.   thank you!  ,Animal Issues,56 Franklin Hill Ave  Dorchester  MA  02124,Greater Mattapan,9,Ward 14,1409,56 Franklin Hill Ave,2124.0,42.29548957123051,-71.09180066261915
dog,Case Closed. Closed date : 2019-09-20 21:47:07.61 Case Resolved Animal control officer Gillis transported the dog to the shelter at the time of the call.   Thank you! ,Animal Issues,416 Warren St  Roxbury  MA  02119,Roxbury,13,Ward 12,1206,416 Warren St,2119.0,42.31677955535385,-71.08214059327295
bird,Case Closed. Closed date : 2019-09-25 15:50:14.973 Case Resolved The bird flew away at the time of the call.   Thank you! ,Animal Issues,INTERSECTION of Oliver St & Purchase St  Boston  MA  ,Downtown / Financial District,3,3,0306,INTERSECTION Oliver St & Purchase St,,42.35523612165344,-71.05205137485537
bird,Case Closed. Closed date : 2019-09-25 15:47:18.573 Case Resolved The bird flew away at the time of the call  Thank you!    ,Animal Issues,INTERSECTION of Oliver St & Purchase St  Boston  MA  ,Downtown / Financial District,3,3,0306,INTERSECTION Oliver St & Purchase St,,42.35523612165344,-71.05205137485537
bird,Case Closed. Closed date : 2019-09-27 21:21:43.237 Case Resolved Animal Control Officer Jones transported the bird to the shelter at the time of the call.   Thank you!  ,Animal Issues,30 Gurney St  Mission Hill  MA  02120,Mission Hill,13,09,0904,30 Gurney St,2120.0,42.33217392395749,-71.09598588480235
hawk,Case Closed. Closed date : 2019-09-27 21:25:28.213 Case Resolved Animal Control Officer Jones transported the hawk to the shelter at the time fo the call.   Thank you! ,Animal Issues,50 Hemlock Rd  West Roxbury  MA  02132,West Roxbury,12,Ward 20,2016,50 Hemlock Rd,2132.0,42.26993968663226,-71.17104089883973
squirrel,Case Closed. Closed date : 2019-09-27 15:55:45.06 Case Resolved Animal Control Officer Egan transported the squirrel to the shelter at the time of the call.   Thank you! ,Animal Issues,100 De Soto Rd  West Roxbury  MA  02132,West Roxbury,10,Ward 20,2003,100 De Soto Rd,2132.0,42.25987966038994,-71.15148087673685
dog,Case Closed. Closed date : 2019-09-26 16:04:35.503 Case Resolved This dog was picked up and brought to the animal shelter at the time of the call and was later returned to his owner.  Thank You! ,Animal Issues,350 S Huntington Ave  Jamaica Plain  MA  02130,Jamaica Plain,11,Ward 10,1009,350 S Huntington Ave,2130.0,42.32276215076271,-71.11104301607821
dog,Case Closed. Closed date : 2019-09-26 15:49:27.407 Case Resolved The dog was picked up and brought to the animal shelter at the time of the call.  Thank You! ,Animal Issues,209 Wood Ave  Hyde Park  MA  02136,Hyde Park,10,Ward 18,1808,209 Wood Ave,2136.0,42.26641960234568,-71.11133077174479
