_id,case_enquiry_id,open_dt,sla_target_dt,closed_dt,on_time,case_status,closure_reason,case_title,subject,reason,type,queue,department,submitted_photo,closed_photo,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,geom_4326,source,combined_info
3047,101004118280,2022-01-06 10:30:00,,2022-01-06 11:44:13,ONTIME,Closed,Case Closed. Closed date : 2022-01-06 16:44:13.7 Case Resolved Patrolled park warned two dog owners with off leash dogs. Munroe110  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,775 E First St  South Boston  MA  02127,6,05,2,C6,South Boston,5,06,0607,775 E First St,2127.0,42.33758613500855,-71.0318781366498,0101000020E61000009297984A0AC251C0EEB8C005362B4540,Constituent Call,Case Closed. Closed date : 2022-01-06 16:44:13.7 Case Resolved Patrolled park warned two dog owners with off leash dogs. Munroe110   Animal Generic Request
3054,101004118296,2022-01-06 10:41:00,,2022-01-06 11:42:47,ONTIME,Closed,Case Closed. Closed date : 2022-01-06 16:42:47.603 Case Resolved Patrolled park warned two dog owners with off leash dogs. Munroe110  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,775 E First St  South Boston  MA  02127,6,05,2,C6,South Boston,5,06,0607,775 E First St,2127.0,42.33758613500855,-71.0318781366498,0101000020E61000009297984A0AC251C0EEB8C005362B4540,Constituent Call,Case Closed. Closed date : 2022-01-06 16:42:47.603 Case Resolved Patrolled park warned two dog owners with off leash dogs. Munroe110   Animal Generic Request
3077,101004118338,2022-01-06 11:09:00,,2022-01-06 12:37:03,ONTIME,Closed,Case Closed. Closed date : 2022-01-06 17:37:03.93 Case Resolved Posted notice  unable to observe a dog. MS 107 ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,43 Sprague St  Hyde Park  MA  02136,12,08,5,E18,Hyde Park,10,Ward 18,1820,43 Sprague St,2136.0,42.23624971019228,-71.13699087787117,0101000020E6100000A6136375C4C851C08F7B356E3D1E4540,Constituent Call,Case Closed. Closed date : 2022-01-06 17:37:03.93 Case Resolved Posted notice  unable to observe a dog. MS 107  Animal Generic Request
3096,101004118369,2022-01-06 11:29:00,,2022-01-06 13:04:29,ONTIME,Closed,Case Closed. Closed date : 2022-01-06 18:04:29.713 Case Resolved Dog/owner in question was gone on arrival  but warned another owner to put their dog on leash. MS107 ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,300 Gardner St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,20,2017,300 Gardner St,2132.0,42.282168034186526,-71.1810299690684,0101000020E6100000A92FB9FE95CB51C0646707151E244540,Constituent Call,Case Closed. Closed date : 2022-01-06 18:04:29.713 Case Resolved Dog/owner in question was gone on arrival  but warned another owner to put their dog on leash. MS107  Animal Generic Request
3212,101004118550,2022-01-06 16:55:00,,2022-01-07 12:01:41,ONTIME,Closed,Case Closed. Closed date : 2022-01-07 17:01:41.117 Case Resolved Dog was returned to owner  ,Animal Lost,Animal Control,Animal Issues,Animal Lost,ANML02_LostFound,ANML,,,11 Outlook Rd  Mattapan  MA  02126,8,07,4,B3,Greater Mattapan,9,Ward 14,1414,11 Outlook Rd,2126.0,42.28247957606448,-71.09414069654976,0101000020E6100000D939B36606C651C0107E6E4A28244540,Constituent Call,Case Closed. Closed date : 2022-01-07 17:01:41.117 Case Resolved Dog was returned to owner   Animal Lost
3572,101004119224,2022-01-07 11:12:00,,2022-01-07 11:53:20,ONTIME,Closed,Case Closed. Closed date : 2022-01-07 16:53:20.53 Case Resolved I was unable to locate the dogs or a dog house. no answer at the door a notice of left. Munroe110   ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,18 Morley St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 9,0905,18 Morley St,2119.0,42.32921956765607,-71.09236058868217,0101000020E610000012F5623CE9C551C09E24E6DD232A4540,Constituent Call,Case Closed. Closed date : 2022-01-07 16:53:20.53 Case Resolved I was unable to locate the dogs or a dog house. no answer at the door a notice of left. Munroe110    Animal Generic Request
3828,101004119689,2022-01-08 03:13:00,,2022-01-10 09:00:42,ONTIME,Closed,Case Closed. Closed date : 2022-01-10 14:00:42.603 Case Resolved Daniel Gillis Sat  Jan 8  9:38 AM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Dog was returned to the owner  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of Newhall Pl & Nahant Ave  Dorchester  MA  ,8,07,3,C11,Dorchester,7,16,1609,INTERSECTION Newhall Pl & Nahant Ave,,42.2880742739074,-71.05157674529897,0101000020E6100000C4928C084DC351C028A0289EDF244540,Constituent Call,Case Closed. Closed date : 2022-01-10 14:00:42.603 Case Resolved Daniel Gillis Sat  Jan 8  9:38 AM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Dog was returned to the owner   Animal Generic Request
3847,101004119719,2022-01-08 03:37:00,,2022-01-19 06:31:53,ONTIME,Closed,Case Closed. Closed date : 2022-01-19 11:31:53.027 Case Noted AC&C spoke to the caller and told her that it would be a while for pick up of dog and she said that was fine as she was posting the dog on social media on 1/8.  ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,49 Pierce Ave  Dorchester  MA  02122,8,07,3,C11,Dorchester,7,Ward 16,1609,49 Pierce Ave,2122.0,42.28736951662926,-71.0521005909375,0101000020E6100000728BB79D55C351C01FE53986C8244540,Constituent Call,Case Closed. Closed date : 2022-01-19 11:31:53.027 Case Noted AC&C spoke to the caller and told her that it would be a while for pick up of dog and she said that was fine as she was posting the dog on social media on 1/8.   Animal Found
3981,101004119949,2022-01-08 06:24:00,,2022-01-10 09:12:31,ONTIME,Closed,Case Closed. Closed date : 2022-01-10 14:12:31.047 Case Resolved Bradley Munroe Sat  Jan 8  12:19 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was transported to the animal shelter. Munroe110   ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,15 Colonial Ave  Dorchester  MA  02124,8,07,4,B3,Dorchester,9,Ward 17,1705,15 Colonial Ave,2124.0,42.2908795486986,-71.07545063562415,0101000020E6100000F61DE72ED4C451C02C5E828A3B254540,Constituent Call,Case Closed. Closed date : 2022-01-10 14:12:31.047 Case Resolved Bradley Munroe Sat  Jan 8  12:19 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  brittany.monteiro  catherine.urnek  chayla.white  daniel.gillis  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was transported to the animal shelter. Munroe110    Animal Found
4160,101004120234,2022-01-08 09:42:00,,2022-01-10 09:16:17,ONTIME,Closed,Case Closed. Closed date : 2022-01-10 14:16:17.26 Case Resolved Daniel Gillis Sat  Jan 8  2:58 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was taken to the shelter  ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,191 Walnut Ave  Roxbury  MA  02119,9,10B,7,B2,Roxbury,13,Ward 12,1203,191 Walnut Ave,2119.0,42.31985956513455,-71.08947060287299,0101000020E6100000BF52E8E2B9C551C068C88128F1284540,Constituent Call,Case Closed. Closed date : 2022-01-10 14:16:17.26 Case Resolved Daniel Gillis Sat  Jan 8  2:58 PM (2 days ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  The dog was taken to the shelter   Animal Found
4531,101004120769,2022-01-09 05:40:00,,2022-01-10 11:16:19,ONTIME,Closed,Case Closed. Closed date : 2022-01-10 16:16:19.967 Case Resolved Daniel Gillis Jan 9  2022  6:44 PM (21 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Patrolled the area on 1/9/22  there were no unleashed dogs  ,Animal Generic Request,Animal Control,Animal Issues,Animal Generic Request,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,,,INTERSECTION of M St & E Broadway  South Boston  MA  ,6,05,2,C6,South Boston / South Boston Waterfront,5,6,0607,INTERSECTION M St & E Broadway,,42.335666538261606,-71.03335392557314,0101000020E6100000E9E1807822C251C0FA18021FF72A4540,Constituent Call,Case Closed. Closed date : 2022-01-10 16:16:19.967 Case Resolved Daniel Gillis Jan 9  2022  6:44 PM (21 hours ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Patrolled the area on 1/9/22  there were no unleashed dogs   Animal Generic Request
4683,101004121002,2022-01-09 09:21:00,,2022-01-10 12:37:36,ONTIME,Closed,Case Closed. Closed date : 2022-01-10 17:37:36.75 Case Resolved Daniel Gillis Jan 9  2022  2:48 PM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Spoke to the caller and she said that the dog was returned to the owner while I was en route  ,Animal Found,Animal Control,Animal Issues,Animal Found,ANML02_LostFound,ANML,,,110 Medford St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,02,0202,110 Medford St,2129.0,42.37892319802733,-71.05700450021622,0101000020E6100000D30934F6A5C351C08F9C2B8E80304540,Constituent Call,Case Closed. Closed date : 2022-01-10 17:37:36.75 Case Resolved Daniel Gillis Jan 9  2022  2:48 PM (1 day ago) to 311reply  alexis.trzcinski  anthony.fabiano  bradley.munroe  brittany.monteiro  catherine.urnek  chayla.white  emily.walz  ian.maclean  keith.burrelle  lauren.lopes  leon.graves  maia.simpson  maryanne.jenner  michael.stern  pat.conroy  patricia.jones  robyn.bonds  sarah.bainer  stephen.norton  tanicia.drigo  walter.egan  Spoke to the caller and she said that the dog was returned to the owner while I was en route   Animal Found
